x,y,z,Bx,By
-0.75,-0.75,0.0,-0.11,-0.09
-0.75,-0.375,0.0,-0.069,-0.091
-0.75,0.0,0.0,-0.028,-0.091
-0.75,0.375,0.0,0.014,-0.092
-0.75,0.75,0.0,0.054,-0.094
-0.375,-0.75,0.0,-0.091,-0.051
-0.375,-0.375,0.0,-0.05,-0.053
-0.375,0.0,0.0,-0.008,-0.054
-0.375,0.375,0.0,0.033,-0.054
-0.375,0.75,0.0,0.074,-0.055
0.0,-0.75,0.0,-0.087,-0.013
0.0,-0.375,0.0,-0.046,-0.014
0.0,0.0,0.0,-0.004,-0.014
0.0,0.375,0.0,0.037,-0.015
0.0,0.75,0.0,0.077,-0.016
0.375,-0.75,0.0,-0.09,0.031
0.375,-0.375,0.0,-0.049,0.029
0.375,0.0,0.0,-0.007,0.028
0.375,0.375,0.0,0.033,0.028
0.375,0.75,0.0,0.074,0.027
0.75,-0.75,0.0,-0.096,0.068
0.75,-0.375,0.0,-0.055,0.067
0.75,0.0,0.0,-0.014,0.065
0.75,0.375,0.0,0.028,0.064
0.75,0.75,0.0,0.068,0.064
